Id,Date,ActivityHour,Calories
1503960366,12-04-2016,12:00:00 AM,81
1503960366,12-04-2016,01:00:00 AM,61
1503960366,12-04-2016,02:00:00 AM,59
1503960366,12-04-2016,03:00:00 AM,47
1503960366,12-04-2016,04:00:00 AM,48
1503960366,12-04-2016,05:00:00 AM,48
1503960366,12-04-2016,06:00:00 AM,48
1503960366,12-04-2016,07:00:00 AM,47
1503960366,12-04-2016,08:00:00 AM,68
1503960366,12-04-2016,09:00:00 AM,141
1503960366,12-04-2016,10:00:00 AM,99
1503960366,12-04-2016,11:00:00 AM,76
1503960366,12-04-2016,12:00:00 PM,73
1503960366,12-04-2016,01:00:00 PM,66
1503960366,12-04-2016,02:00:00 PM,110
1503960366,12-04-2016,03:00:00 PM,151
1503960366,12-04-2016,04:00:00 PM,76
1503960366,12-04-2016,05:00:00 PM,83
1503960366,12-04-2016,06:00:00 PM,124
1503960366,12-04-2016,07:00:00 PM,104
1503960366,12-04-2016,08:00:00 PM,132
1503960366,12-04-2016,09:00:00 PM,100
1503960366,12-04-2016,10:00:00 PM,65
1503960366,12-04-2016,11:00:00 PM,81
1503960366,13-04-2016,12:00:00 PM,69
1503960366,13-04-2016,01:00:00 AM,48
1503960366,13-04-2016,02:00:00 AM,47
1503960366,13-04-2016,03:00:00 AM,53
1503960366,13-04-2016,04:00:00 AM,47
1503960366,13-04-2016,05:00:00 AM,47
1503960366,13-04-2016,06:00:00 AM,48
1503960366,13-04-2016,07:00:00 AM,59
1503960366,13-04-2016,08:00:00 AM,69
1503960366,13-04-2016,09:00:00 AM,136
1503960366,13-04-2016,10:00:00 AM,77
1503960366,13-04-2016,11:00:00 AM,84
1503960366,13-04-2016,12:00:00 PM,82
1503960366,13-04-2016,01:00:00 AM,72
1503960366,13-04-2016,02:00:00 AM,128
1503960366,13-04-2016,03:00:00 AM,79
1503960366,13-04-2016,04:00:00 AM,71
1503960366,13-04-2016,05:00:00 AM,87
1503960366,13-04-2016,06:00:00 AM,118
1503960366,13-04-2016,07:00:00 AM,73
1503960366,13-04-2016,08:00:00 AM,47
1503960366,13-04-2016,09:00:00 AM,48
1503960366,13-04-2016,10:00:00 AM,74
1503960366,13-04-2016,11:00:00 AM,135
1503960366,14-04-2016,12:00:00 PM,56
1503960366,14-04-2016,01:00:00 AM,54
1503960366,14-04-2016,02:00:00 AM,47
1503960366,14-04-2016,03:00:00 AM,47
1503960366,14-04-2016,04:00:00 AM,47
1503960366,14-04-2016,05:00:00 AM,47
1503960366,14-04-2016,06:00:00 AM,47
1503960366,14-04-2016,07:00:00 AM,47
1503960366,14-04-2016,08:00:00 AM,47
1503960366,14-04-2016,09:00:00 AM,93
1503960366,14-04-2016,10:00:00 AM,109
1503960366,14-04-2016,11:00:00 AM,64
1503960366,14-04-2016,12:00:00 PM,85
1503960366,14-04-2016,01:00:00 AM,137
1503960366,14-04-2016,02:00:00 AM,113
1503960366,14-04-2016,03:00:00 AM,66
1503960366,14-04-2016,04:00:00 AM,88
1503960366,14-04-2016,05:00:00 AM,61
1503960366,14-04-2016,06:00:00 AM,72
1503960366,14-04-2016,07:00:00 AM,55
1503960366,14-04-2016,08:00:00 AM,91
1503960366,14-04-2016,09:00:00 AM,174
1503960366,14-04-2016,10:00:00 AM,79
1503960366,14-04-2016,11:00:00 AM,50
1503960366,15-04-2016,12:00:00 PM,60
1503960366,15-04-2016,01:00:00 AM,58
1503960366,15-04-2016,02:00:00 AM,59
1503960366,15-04-2016,03:00:00 AM,47
1503960366,15-04-2016,04:00:00 AM,47
1503960366,15-04-2016,05:00:00 AM,49
1503960366,15-04-2016,06:00:00 AM,47
1503960366,15-04-2016,07:00:00 AM,49
1503960366,15-04-2016,08:00:00 AM,54
1503960366,15-04-2016,09:00:00 AM,50
1503960366,15-04-2016,10:00:00 AM,63
1503960366,15-04-2016,11:00:00 AM,84
1503960366,15-04-2016,12:00:00 PM,74
1503960366,15-04-2016,01:00:00 AM,67
1503960366,15-04-2016,02:00:00 AM,47
1503960366,15-04-2016,03:00:00 AM,47
1503960366,15-04-2016,04:00:00 AM,47
1503960366,15-04-2016,05:00:00 AM,140
1503960366,15-04-2016,06:00:00 AM,87
1503960366,15-04-2016,07:00:00 AM,97
1503960366,15-04-2016,08:00:00 AM,64
1503960366,15-04-2016,09:00:00 AM,75
1503960366,15-04-2016,10:00:00 AM,151
1503960366,15-04-2016,11:00:00 AM,182
1503960366,16-04-2016,12:00:00 PM,77
1503960366,16-04-2016,01:00:00 AM,48
1503960366,16-04-2016,02:00:00 AM,52
1503960366,16-04-2016,03:00:00 AM,48
1503960366,16-04-2016,04:00:00 AM,49
1503960366,16-04-2016,05:00:00 AM,49
1503960366,16-04-2016,06:00:00 AM,48
1503960366,16-04-2016,07:00:00 AM,54
1503960366,16-04-2016,08:00:00 AM,62
1503960366,16-04-2016,09:00:00 AM,124
1503960366,16-04-2016,10:00:00 AM,110
1503960366,16-04-2016,11:00:00 AM,147
1503960366,16-04-2016,12:00:00 PM,119
1503960366,16-04-2016,01:00:00 AM,214
1503960366,16-04-2016,02:00:00 AM,82
1503960366,16-04-2016,03:00:00 AM,51
1503960366,16-04-2016,04:00:00 AM,54
1503960366,16-04-2016,05:00:00 AM,79
1503960366,16-04-2016,06:00:00 AM,65
1503960366,16-04-2016,07:00:00 AM,67
1503960366,16-04-2016,08:00:00 AM,81
1503960366,16-04-2016,09:00:00 AM,75
1503960366,16-04-2016,10:00:00 AM,55
1503960366,16-04-2016,11:00:00 AM,56
1503960366,17-04-2016,12:00:00 PM,47
1503960366,17-04-2016,01:00:00 AM,48
1503960366,17-04-2016,02:00:00 AM,47
1503960366,17-04-2016,03:00:00 AM,49
1503960366,17-04-2016,04:00:00 AM,48
1503960366,17-04-2016,05:00:00 AM,48
1503960366,17-04-2016,06:00:00 AM,48
1503960366,17-04-2016,07:00:00 AM,48
1503960366,17-04-2016,08:00:00 AM,48
1503960366,17-04-2016,09:00:00 AM,48
1503960366,17-04-2016,10:00:00 AM,47
