Id,Date,ActivityHour,TotalIntensity,AverageIntensity
1503960366,04-12-2016,12:00:00 AM,20,0.333333
1503960366,04-12-2016,01:00:00 AM,8,0.133333
1503960366,04-12-2016,02:00:00 AM,7,0.116667
1503960366,04-12-2016,03:00:00 AM,0,0
1503960366,04-12-2016,04:00:00 AM,0,0
1503960366,04-12-2016,05:00:00 AM,0,0
1503960366,04-12-2016,06:00:00 AM,0,0
1503960366,04-12-2016,07:00:00 AM,0,0
1503960366,04-12-2016,08:00:00 AM,13,0.216667
1503960366,04-12-2016,09:00:00 AM,30,0.5
1503960366,04-12-2016,10:00:00 AM,29,0.483333
1503960366,04-12-2016,11:00:00 AM,12,0.2
1503960366,04-12-2016,12:00:00 PM,11,0.183333
1503960366,04-12-2016,01:00:00 PM,6,0.1
1503960366,04-12-2016,02:00:00 PM,36,0.6
1503960366,04-12-2016,03:00:00 PM,58,0.966667
1503960366,04-12-2016,04:00:00 PM,13,0.216667
1503960366,04-12-2016,05:00:00 PM,16,0.266667
1503960366,04-12-2016,06:00:00 PM,29,0.483333
1503960366,04-12-2016,07:00:00 PM,39,0.65
1503960366,04-12-2016,08:00:00 PM,41,0.683333
1503960366,04-12-2016,09:00:00 PM,31,0.516667
1503960366,04-12-2016,10:00:00 PM,9,0.15
1503960366,04-12-2016,11:00:00 PM,21,0.35
1503960366,13-04-2016,12:00:00 PM,14,0.233333
1503960366,13-04-2016,01:00:00 AM,0,0
1503960366,13-04-2016,02:00:00 AM,0,0
1503960366,13-04-2016,03:00:00 AM,4,0.066667
1503960366,13-04-2016,04:00:00 AM,0,0
1503960366,13-04-2016,05:00:00 AM,0,0
1503960366,13-04-2016,06:00:00 AM,0,0
1503960366,13-04-2016,07:00:00 AM,8,0.133333
1503960366,13-04-2016,08:00:00 AM,12,0.2
1503960366,13-04-2016,09:00:00 AM,27,0.45
1503960366,13-04-2016,10:00:00 AM,15,0.25
1503960366,13-04-2016,11:00:00 AM,16,0.266667
1503960366,13-04-2016,12:00:00 PM,15,0.25
1503960366,13-04-2016,01:00:00 AM,10,0.166667
1503960366,13-04-2016,02:00:00 AM,46,0.766667
1503960366,13-04-2016,03:00:00 AM,13,0.216667
1503960366,13-04-2016,04:00:00 AM,10,0.166667
1503960366,13-04-2016,05:00:00 AM,23,0.383333
1503960366,13-04-2016,06:00:00 AM,25,0.416667
1503960366,13-04-2016,07:00:00 AM,13,0.216667
1503960366,13-04-2016,08:00:00 AM,0,0
1503960366,13-04-2016,09:00:00 AM,0,0
1503960366,13-04-2016,10:00:00 AM,11,0.183333
1503960366,13-04-2016,11:00:00 AM,56,0.933333
1503960366,14-04-2016,12:00:00 PM,4,0.066667
1503960366,14-04-2016,01:00:00 AM,3,0.05
1503960366,14-04-2016,02:00:00 AM,0,0
1503960366,14-04-2016,03:00:00 AM,0,0
1503960366,14-04-2016,04:00:00 AM,0,0
1503960366,14-04-2016,05:00:00 AM,0,0
1503960366,14-04-2016,06:00:00 AM,0,0
1503960366,14-04-2016,07:00:00 AM,0,0
1503960366,14-04-2016,08:00:00 AM,0,0
1503960366,14-04-2016,09:00:00 AM,14,0.233333
1503960366,14-04-2016,10:00:00 AM,23,0.383333
1503960366,14-04-2016,11:00:00 AM,7,0.116667
1503960366,14-04-2016,12:00:00 PM,18,0.3
1503960366,14-04-2016,01:00:00 AM,54,0.9
1503960366,14-04-2016,02:00:00 AM,22,0.366667
1503960366,14-04-2016,03:00:00 AM,7,0.116667
1503960366,14-04-2016,04:00:00 AM,25,0.416667
1503960366,14-04-2016,05:00:00 AM,5,0.083333
1503960366,14-04-2016,06:00:00 AM,12,0.2
1503960366,14-04-2016,07:00:00 AM,1,0.016667
1503960366,14-04-2016,08:00:00 AM,24,0.4
1503960366,14-04-2016,09:00:00 AM,57,0.95
1503960366,14-04-2016,10:00:00 AM,17,0.283333
1503960366,14-04-2016,11:00:00 AM,0,0
1503960366,15-04-2016,12:00:00 PM,6,0.1
1503960366,15-04-2016,01:00:00 AM,5,0.083333
1503960366,15-04-2016,02:00:00 AM,7,0.116667
1503960366,15-04-2016,03:00:00 AM,0,0
1503960366,15-04-2016,04:00:00 AM,0,0
1503960366,15-04-2016,05:00:00 AM,1,0.016667
1503960366,15-04-2016,06:00:00 AM,0,0
1503960366,15-04-2016,07:00:00 AM,1,0.016667
1503960366,15-04-2016,08:00:00 AM,5,0.083333
1503960366,15-04-2016,09:00:00 AM,2,0.033333
1503960366,15-04-2016,10:00:00 AM,8,0.133333
1503960366,15-04-2016,11:00:00 AM,23,0.383333
1503960366,15-04-2016,12:00:00 PM,13,0.216667
1503960366,15-04-2016,01:00:00 AM,9,0.15
1503960366,15-04-2016,02:00:00 AM,0,0
1503960366,15-04-2016,03:00:00 AM,0,0
1503960366,15-04-2016,04:00:00 AM,0,0
1503960366,15-04-2016,05:00:00 AM,47,0.783333
1503960366,15-04-2016,06:00:00 AM,22,0.366667
1503960366,15-04-2016,07:00:00 AM,32,0.533333
1503960366,15-04-2016,08:00:00 AM,8,0.133333
1503960366,15-04-2016,09:00:00 AM,14,0.233333
1503960366,15-04-2016,10:00:00 AM,66,1.1
1503960366,15-04-2016,11:00:00 AM,95,1.583333
1503960366,16-04-2016,12:00:00 PM,15,0.25
1503960366,16-04-2016,01:00:00 AM,0,0
1503960366,16-04-2016,02:00:00 AM,3,0.05
1503960366,16-04-2016,03:00:00 AM,1,0.016667
1503960366,16-04-2016,04:00:00 AM,1,0.016667
1503960366,16-04-2016,05:00:00 AM,1,0.016667
1503960366,16-04-2016,06:00:00 AM,0,0
1503960366,16-04-2016,07:00:00 AM,4,0.066667
1503960366,16-04-2016,08:00:00 AM,9,0.15
1503960366,16-04-2016,09:00:00 AM,38,0.633333
1503960366,16-04-2016,10:00:00 AM,14,0.233333
1503960366,16-04-2016,11:00:00 AM,30,0.5
1503960366,16-04-2016,12:00:00 PM,42,0.7
1503960366,16-04-2016,01:00:00 AM,90,1.5
1503960366,16-04-2016,02:00:00 AM,20,0.333333
1503960366,16-04-2016,03:00:00 AM,0,0
1503960366,16-04-2016,04:00:00 AM,2,0.033333
1503960366,16-04-2016,05:00:00 AM,17,0.283333
1503960366,16-04-2016,06:00:00 AM,10,0.166667
1503960366,16-04-2016,07:00:00 AM,12,0.2
1503960366,16-04-2016,08:00:00 AM,19,0.316667
1503960366,16-04-2016,09:00:00 AM,13,0.216667
1503960366,16-04-2016,10:00:00 AM,3,0.05
1503960366,16-04-2016,11:00:00 AM,5,0.083333
1503960366,17-04-2016,12:00:00 PM,0,0
1503960366,17-04-2016,01:00:00 AM,0,0
1503960366,17-04-2016,02:00:00 AM,0,0
1503960366,17-04-2016,03:00:00 AM,1,0.016667
1503960366,17-04-2016,04:00:00 AM,0,0
1503960366,17-04-2016,05:00:00 AM,0,0
1503960366,17-04-2016,06:00:00 AM,0,0
1503960366,17-04-2016,07:00:00 AM,0,0
1503960366,17-04-2016,08:00:00 AM,0,0
1503960366,17-04-2016,09:00:00 AM,0,0
1503960366,17-04-2016,10:00:00 AM,0,0
1503960366,17-04-2016,11:00:00 AM,9,0.15
1503960366,17-04-2016,12:00:00 PM,18,0.3
1503960366,17-04-2016,01:00:00 AM,23,0.383333
1503960366,17-04-2016,02:00:00 AM,10,0.166667
1503960366,17-04-2016,03:00:00 AM,13,0.216667
1503960366,17-04-2016,04:00:00 AM,2,0.033333
1503960366,17-04-2016,05:00:00 AM,71,1.183333
1503960366,17-04-2016,06:00:00 AM,39,0.65
1503960366,17-04-2016,07:00:00 AM,24,0.4
1503960366,17-04-2016,08:00:00 AM,87,1.45
1503960366,17-04-2016,09:00:00 AM,16,0.266667
1503960366,17-04-2016,10:00:00 AM,5,0.083333
1503960366,17-04-2016,11:00:00 AM,0,0
1503960366,18-04-2016,12:00:00 PM,21,0.35
1503960366,18-04-2016,01:00:00 AM,0,0
1503960366,18-04-2016,02:00:00 AM,0,0
1503960366,18-04-2016,03:00:00 AM,0,0
1503960366,18-04-2016,04:00:00 AM,0,0
1503960366,18-04-2016,05:00:00 AM,0,0
1503960366,18-04-2016,06:00:00 AM,0,0
1503960366,18-04-2016,07:00:00 AM,0,0
1503960366,18-04-2016,08:00:00 AM,0,0
1503960366,18-04-2016,09:00:00 AM,39,0.65
1503960366,18-04-2016,10:00:00 AM,17,0.283333
1503960366,18-04-2016,11:00:00 AM,15,0.25
1503960366,18-04-2016,12:00:00 PM,40,0.666667
1503960366,18-04-2016,01:00:00 AM,9,0.15
1503960366,18-04-2016,02:00:00 AM,7,0.116667
1503960366,18-04-2016,03:00:00 AM,14,0.233333
1503960366,18-04-2016,04:00:00 AM,17,0.283333
1503960366,18-04-2016,05:00:00 AM,18,0.3
1503960366,18-04-2016,06:00:00 AM,114,1.9
1503960366,18-04-2016,07:00:00 AM,30,0.5
1503960366,18-04-2016,08:00:00 AM,2,0.033333
